"%s application(s) updated.","%s application(s) updated."
"-- Please select --","-- Please select --"
"Action","Action"
"Admin Notifications","Admin Notifications"
"Application approved; customer moved to the B2B group.","Application approved; customer moved to the B2B group."
"Application declined.","Application declined."
"Applied","Applied"
"Approve","Approve"
"Approved","Approved"
"Approving an application moves the customer into this group (where b2b-access / pricing then apply).","Approving an application moves the customer into this group (where b2b-access / pricing then apply)."
"B2B customer group (on approval)","B2B customer group (on approval)"
"B2B Registration","B2B Registration"
"B2B Registration - New trade application (admin)","B2B Registration - New trade application (admin)"
"B2B Registration Section","B2B Registration Section"
"Comma-separated. Blank = no email is sent (the application still appears in the Trade Applications grid).","Comma-separated. Blank = no email is sent (the application still appears in the Trade Applications grid)."
"Comma-separated Custom Form codes that create a customer on submit. Default: trade_application.","Comma-separated Custom Form codes that create a customer on submit. Default: trade_application."
"Converts submissions of the form(s) below into pending customers (managed in Customers &gt; Approvals).","Converts submissions of the form(s) below into pending customers (managed in Customers &gt; Approvals)."
"Could not update the application.","Could not update the application."
"Customer","Customer"
"Customers","Customers"
"Decided","Decided"
"Decline","Decline"
"Declined","Declined"
"Email field key","Email field key"
"Enabled","Enabled"
"Existing customer (upgrade request)","Existing customer (upgrade request)"
"Field Mapping","Field Mapping"
"Form fields map onto customer attributes by convention (field key === attribute code). Add overrides below only when a key differs.","Form fields map onto customer attributes by convention (field key === attribute code). Add overrides below only when a key differs."
"Group upgrade","Group upgrade"
"ID","ID"
"New account","New account"
"New prospect","New prospect"
"Notify admin emails","Notify admin emails"
"Optional. Email addresses that receive a notice whenever a new trade application arrives (both new prospects and existing-customer upgrade requests). Leave blank to disable.","Optional. Email addresses that receive a notice whenever a new trade application arrives (both new prospects and existing-customer upgrade requests). Leave blank to disable."
"Override map (JSON)","Override map (JSON)"
"Pending","Pending"
"Please select one or more applications.","Please select one or more applications."
"Set a B2B customer group in System Config first.","Set a B2B customer group in System Config first."
"Status","Status"
"The applicant customer no longer exists.","The applicant customer no longer exists."
"This application no longer exists.","This application no longer exists."
"Trade-Account Flow","Trade-Account Flow"
"Trade-application form codes","Trade-application form codes"
"Trade Applications","Trade Applications"
"Type","Type"
"Which form field holds the applicant email. Default: email.","Which form field holds the applicant email. Default: email."
